episode,avg_reward_10,eval_avg_reward,eval_avg_length
10,88.5495657243564,76.33190418131471,9.4
20,83.70923540754363,76.33190418131471,9.4
30,62.37503779119819,23.647566032284164,3.8
40,22.793845982076046,18.599375465705357,3.2
50,19.435903385287048,18.59937298191727,3.2
60,21.09550158318735,18.599372931266625,3.2
70,21.937277440810753,18.599372871783597,3.2
80,21.08563605082014,18.599372910698992,3.2
90,21.959931302907084,18.599372879939246,3.2
100,21.084295671865362,18.599372889098095,3.2
110,22.750146023758855,18.59937288739504,3.2
120,20.26176367289225,18.59937288282548,3.2
130,21.094392714677404,18.59937289440841,3.2
140,20.251556645024273,18.599372927673592,3.2
150,21.0807412336953,18.59937289791705,3.2
160,20.293940330335754,18.599372925450666,3.2
170,21.929793732889,18.59937293524775,3.2
180,21.9102540293885,18.599372917877314,3.2
190,21.06021440952567,18.59937298451325,3.2
200,23.592326040052832,18.599372966707342,3.2
210,19.39063454525306,18.599372932277912,3.2
220,20.211309876902977,18.59937290260497,3.2
230,21.899542856677403,18.599372973200847,3.2
240,21.127632261813126,18.599372939851268,3.2
250,23.635448967371143,18.599372967806126,3.2
260,21.91678001486462,18.599373004209134,3.2
270,19.420737275737984,18.599373028944807,3.2
280,20.24607678849945,18.599373023938984,3.2
290,22.75619428362222,18.59937305836841,3.2
300,21.871520408075597,18.599373107618874,3.2
310,21.100711144645338,18.59937310023165,3.2
320,22.777363145137933,18.599373076866076,3.2
330,18.593415980588624,18.599373123451198,3.2
340,21.930242902536072,18.59937318880531,3.2
350,20.218808098190944,18.599373119858967,3.2
360,23.592162886446182,18.599373251244725,3.2
370,21.906348277588805,18.599373288746502,3.2
380,21.042543902459546,18.599373197203825,3.2
390,22.759136630434444,18.5993733095169,3.2
400,20.278812548279834,18.599373359342362,3.2
410,21.99297678365709,18.599373454913525,3.2
420,22.748606258312172,18.599373579363334,3.2
430,21.90327607631212,18.59937356813534,3.2
440,21.10003091340143,18.599373700143435,3.2
450,21.949007312403943,18.599373818846612,3.2
460,18.566847841246418,18.59937383287416,3.2
470,23.594656414255773,18.599373965775946,3.2
480,21.95907648296173,18.59937405227263,3.2
490,22.755097509112947,18.599374243127805,3.2
500,21.918010878642797,18.599374475223705,3.2
510,17.7615895760459,18.59937462978872,3.2
520,22.82242861160622,18.599374854871165,3.2
530,21.12485572707017,18.59937509037303,3.2
540,21.933536928554116,18.59937527085594,3.2
550,21.92000699901515,18.599375483527115,3.2
560,21.93386448449189,18.599375951933702,3.2
570,20.277557246495142,18.59937630303747,3.2
580,21.078558247135152,18.599377046516747,3.2
590,23.595319261379004,18.5993788304145,3.2
600,21.08645283583351,18.599380915355102,3.2
610,22.779985841820782,18.59938440414719,3.2
