episode,avg_reward_10,eval_avg_reward,eval_avg_length
10,88.5495657243564,76.33190418131471,9.4
20,83.70923540754363,76.33190418131471,9.4
30,62.37503779119819,23.647566032284164,3.8
40,22.793845982076046,18.599375465705357,3.2
50,19.435903385287048,18.59937298191727,3.2
60,21.09550158318735,18.599372931266625,3.2
70,21.937277440810753,18.599372871783597,3.2
80,21.08563605082014,18.599372910698992,3.2
90,21.959931302907084,18.599372879939246,3.2
100,21.084295671865362,18.599372889098095,3.2
110,22.750146023758855,18.59937288739504,3.2
120,20.26176367289225,18.59937288282548,3.2
130,21.094392714677404,18.59937289440841,3.2
140,20.251556645024273,18.599372927673592,3.2
150,21.0807412336953,18.59937289791705,3.2
160,20.293940330335754,18.599372925450666,3.2
170,21.929793732889,18.59937293524775,3.2
180,21.9102540293885,18.599372917877314,3.2
190,21.06021440952567,18.59937298451325,3.2
200,23.592326040052832,18.599372966707342,3.2
210,19.39063454525306,18.599372932277912,3.2
220,20.211309876902977,18.59937290260497,3.2
230,21.899542856677403,18.599372973200847,3.2
240,21.127632261813126,18.599372939851268,3.2
250,23.635448967371143,18.599372967806126,3.2
260,21.91678001486462,18.599373004209134,3.2
270,19.420737275737984,18.599373028944807,3.2
280,20.24607678849945,18.599373023938984,3.2
290,22.75619428362222,18.59937305836841,3.2
300,21.871520408075597,18.599373107618874,3.2
310,21.100711144645338,18.59937310023165,3.2
320,22.777363145137933,18.599373076866076,3.2
330,18.593415980588624,18.599373123451198,3.2
340,21.930242902536072,18.59937318880531,3.2
350,20.218808098190944,18.599373119858967,3.2
360,23.592162886446182,18.599373251244725,3.2
370,21.906348277588805,18.599373288746502,3.2
380,21.042543902459546,18.599373197203825,3.2
390,22.759136630434444,18.5993733095169,3.2
400,20.278812548279834,18.599373359342362,3.2
410,21.99297678365709,18.599373454913525,3.2
420,22.748606258312172,18.599373579363334,3.2
430,21.90327607631212,18.59937356813534,3.2
440,21.10003091340143,18.599373700143435,3.2
450,21.949007312403943,18.599373818846612,3.2
460,18.566847841246418,18.59937383287416,3.2
470,23.594656414255773,18.599373965775946,3.2
480,21.95907648296173,18.59937405227263,3.2
490,22.755097509112947,18.599374243127805,3.2
500,21.918010878642797,18.599374475223705,3.2
510,17.7615895760459,18.59937462978872,3.2
520,22.82242861160622,18.599374854871165,3.2
530,21.12485572707017,18.59937509037303,3.2
540,21.933536928554116,18.59937527085594,3.2
550,21.92000699901515,18.599375483527115,3.2
560,21.93386448449189,18.599375951933702,3.2
570,20.277557246495142,18.59937630303747,3.2
580,21.078558247135152,18.599377046516747,3.2
590,23.595319261379004,18.5993788304145,3.2
600,21.08645283583351,18.599380915355102,3.2
610,22.779985841820782,18.59938440414719,3.2
620,20.30007182459486,18.599390433667548,3.2
630,21.080671090389682,18.599396919241876,3.2
640,21.09469473442846,18.59941449341782,3.2
650,19.424677933448375,18.5994477535883,3.2
660,22.73168995179976,18.609726282266397,3.2
670,48.25494400697723,52.121160383491954,6.8
680,49.411153685460896,55.83364905391652,7.2
690,74.48496275490973,80.14230418971466,9.8
700,72.51996171391156,79.96053100239035,9.8
710,70.79769131567011,81.8920720628557,10.0
720,96.9603542608702,78.35761478113007,9.6
730,92.33764093615599,80.08129553749339,9.8
740,96.03237172323198,78.5574382800733,9.6
750,83.0218941199677,81.98582903303053,10.0
760,82.06336778721467,91.32162553364466,11.0
770,96.07575800423925,93.29773656665887,11.2
780,104.42479295296275,93.28905592511806,11.2
790,110.0285649794981,99.00083418085782,11.8
800,96.97873964935307,98.90004315142752,11.8
810,89.59649855242147,97.06856047322069,11.6
820,107.32932190863326,99.03312391124639,11.8
830,115.60510295003742,100.8319250571259,12.0
840,98.01001819058038,100.80489450720543,12.0
850,110.14237329386648,101.0306306039009,12.0
860,102.84971655261077,99.23631248398127,11.8
870,122.16087682564401,102.85039281862802,12.2
880,113.87221478161177,101.05763367961465,12.0
890,108.27619686864246,102.96640373690506,12.2
900,103.55612610771252,108.26686548649369,12.8
910,130.39967811356382,112.008070473772,13.2
920,125.21484858355169,108.33809315300778,12.8
930,108.3548013856112,108.52260219073078,12.8
940,132.3205334169397,108.51301824104719,12.8
950,114.00710887974417,110.29420441190537,13.0
960,131.40533800785647,112.06195614292119,13.2
970,134.45981702314353,117.74193051910308,13.8
980,128.87363688511587,119.48434717328084,14.0
990,148.26456307995642,119.6811172919658,14.0
1000,153.98390513204018,136.25310719557584,15.8
1010,134.45016594547172,139.84289135497002,16.2
1020,174.31117570524094,151.09412518976563,17.4
1030,135.35154944454817,162.25183187579682,18.6
1040,148.11354365083167,186.0938911486689,21.2
1050,187.49761524483864,186.26302279916962,21.2
1060,183.75410413017644,199.15029812038628,22.6
1070,173.75750108136216,208.5803256466685,23.6
1080,140.71861804428244,219.5655137483322,24.8
1090,191.9590520894327,223.35538398865415,25.2
1100,158.53304873508517,238.31183047936128,26.8
1110,216.29585303415791,268.12560260372175,30.0
1120,210.78549248264426,335.29555577380506,37.2
1130,222.16802434599904,327.9024991204784,36.4
1140,235.12625720941156,309.18843751267303,34.4
1150,218.42849488281672,316.7886071233341,35.2
1160,215.49053650163418,344.95148798342467,38.2
1170,244.4357155211933,318.6971186350362,35.4
1180,272.5901428426915,363.9992153844941,40.2
1190,304.49542185266523,309.65142639527625,34.4
1200,242.56215332107936,322.7099687422682,35.8
1210,239.92231308326708,333.9571717706164,37.0
1220,232.3687503227292,360.4583752654198,39.8
1230,336.34755713558826,337.9748783075588,37.4
1240,233.25918082958077,377.3650818922622,41.6
