episode,avg_reward_10,eval_avg_reward,eval_avg_length
10,88.53946181138299,76.33190418131471,9.4
20,50.12659943151374,18.599687153264927,3.2
30,19.424751610307975,18.59937412350002,3.2
40,22.792942012061786,18.59937306906151,3.2
50,20.24799460525925,18.59937291420683,3.2
60,21.105727276717225,18.599372711247817,3.2
70,21.094077197118057,18.59937246827146,3.2
80,21.070528623309364,18.599372273489987,3.2
90,21.959895871092343,18.59937209410534,3.2
100,21.070621542274615,18.599372019901374,3.2
110,21.954042582770978,18.59937188583194,3.2
120,19.4465864902723,18.599371938170655,3.2
130,21.094237274957486,18.599371977291156,3.2
140,21.10890574213324,18.599371972398174,3.2
150,21.10750571998367,18.599372034635714,3.2
160,20.302530337996494,18.599372118909628,3.2
170,22.752773164509026,18.599372315477787,3.2
180,21.914725139240986,18.599372363952906,3.2
190,21.047751206947705,18.5993724476044,3.2
200,23.584655885034266,18.599372570336232,3.2
210,19.382335236671487,18.599372602714645,3.2
220,19.37622657241642,18.59937267312361,3.2
230,21.884980067011224,18.599372714046556,3.2
240,21.113306381267904,18.599372825029675,3.2
250,23.6435610806251,18.599372833123702,3.2
260,21.091977928510424,18.599372912233253,3.2
270,21.05417926084367,18.599372982377822,3.2
280,20.26516027392908,18.59937313611787,3.2
290,21.898328254878688,18.599373215990134,3.2
300,21.04283704056979,18.599373285054032,3.2
310,24.395255181964817,18.599373332906726,3.2
320,22.763554059166186,18.59937335376072,3.2
330,17.75828587706452,18.599373522446232,3.2
340,21.10999939533202,18.59937362855133,3.2
350,19.383059158311518,18.599373744948004,3.2
360,21.074694666051034,18.599373958849238,3.2
370,21.892689040170353,18.599374674375355,3.2
380,20.239635967071226,18.59937626029619,3.2
390,21.07770046446682,18.599390291164273,3.2
400,20.243773020459532,18.602535108313123,3.2
410,20.30826396149368,23.55010553203098,3.8
420,20.246659968387167,23.55010553203098,3.8
430,20.245465564521908,23.55010553203098,3.8
440,22.73718682671069,23.55010553203098,3.8
450,20.319002955514556,23.55010553203098,3.8
460,23.633926128672478,23.55010553203098,3.8
470,18.595562410948453,23.55010553203098,3.8
480,20.2627344320373,23.55010553203098,3.8
490,21.06109473984219,23.55010553203098,3.8
500,21.077843076463367,23.55010553203098,3.8
510,24.447254309867084,23.55010553203098,3.8
